host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,market,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month
1659441,2012-01-27,within an hour,1,t,t,t,Rio De Janeiro,-22.96521,-43.17614,t,Apartment,Entire home/apt,8,2,2,5,Real Bed,168,500,180,4,20,5,120,83,2019-11-02,98,10,10,10,10,10,10,f,strict_14_with_grace_period,f,t,0.9
1668565,2012-01-29,within a day,1,t,t,f,Rio De Janeiro,-22.97705,-43.18864,t,Apartment,Entire home/apt,5,2,2,3,Real Bed,248,420,252,4,105,3,31,197,2019-11-18,96,10,9,10,10,10,10,f,strict_14_with_grace_period,f,f,2.1
1668565,2012-01-29,within a day,1,t,t,f,Rio De Janeiro,-22.97717,-43.18935,t,Apartment,Entire home/apt,6,2,2,4,Real Bed,205,420,251,4,42,3,1125,70,2019-11-20,95,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,2.81
1698297,2012-02-04,N/A,0.892333129,f,t,t,Rio De Janeiro,-22.96873,-43.18238,f,Apartment,Entire home/apt,4,1,1,2,Real Bed,2015,630,168,1,0,2,30,4,2016-08-24,85,9,10,9,10,10,9,t,strict_14_with_grace_period,f,f,0.08
1603206,2012-01-13,within a few hours,0.97,f,t,t,Rio De Janeiro,-22.96653,-43.18057,t,Condominium,Entire home/apt,2,1,1,1,Real Bed,151,500,80,2,50,3,30,70,2019-10-29,85,9,8,9,9,9,8,f,strict_14_with_grace_period,f,f,0.75
235496,2010-09-15,within an hour,1,f,t,f,Rio De Janeiro,-22.9827,-43.19102,t,Apartment,Entire home/apt,6,2,3,4,Real Bed,693,1259,189,1,0,2,29,238,2019-11-17,97,10,10,10,10,10,9,t,strict_14_with_grace_period,f,t,2.53
1763389,2012-02-16,within a few hours,1,t,t,t,Rio De Janeiro,-22.98194,-43.18916,t,Condominium,Entire home/apt,3,1,1,1,Real Bed,218,600,180,2,30,3,30,175,2019-10-06,94,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,1.87
1794600,2012-02-22,within an hour,1,t,t,t,Rio De Janeiro,-22.98289,-43.19099,t,Condominium,Entire home/apt,4,1,1,3,Real Bed,416,1050,210,2,105,4,30,91,2019-11-20,96,10,10,10,10,10,10,f,strict_14_with_grace_period,f,t,0.99
1803497,2012-02-24,within a few hours,1,f,t,t,Rio De Janeiro,-22.98306,-43.1921,t,Apartment,Entire home/apt,6,2,3,3,Real Bed,453,500,124,4,52,2,89,5,2015-08-24,90,10,9,10,10,10,9,f,strict_14_with_grace_period,f,f,0.06
1803497,2012-02-24,within a few hours,1,f,t,t,Rio De Janeiro,-22.97819,-43.1902,t,Apartment,Entire home/apt,3,1,1,2,Real Bed,151,400,80,2,30,2,89,19,2016-08-24,86,9,9,9,10,9,8,f,strict_14_with_grace_period,f,f,0.22
1809627,2012-02-25,within an hour,0.95,t,t,t,Rio De Janeiro,-22.97395,-43.18936,t,Apartment,Entire home/apt,3,1,1,2,Real Bed,151,500,120,2,30,3,30,165,2019-11-10,95,10,10,10,10,10,10,t,strict_14_with_grace_period,t,t,1.9
1824379,2012-02-28,within an hour,1,t,t,f,Rio De Janeiro,-22.96641,-43.18133,f,Apartment,Entire home/apt,2,1,1,1,Real Bed,202,2000,230,2,0,4,120,202,2019-11-16,97,10,10,10,10,10,10,t,strict_14_with_grace_period,f,t,2.16
1834286,2012-02-29,within an hour,1,t,t,t,Rio De Janeiro,-22.97523,-43.18878,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,147,420,199,4,100,2,90,223,2019-10-17,96,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,2.41
1834286,2012-02-29,within an hour,1,t,t,t,Rio De Janeiro,-22.97604,-43.18673,t,Apartment,Entire home/apt,6,1.5,2,2,Real Bed,239,420,219,6,100,2,90,236,2019-11-05,97,10,10,10,10,10,9,f,strict_14_with_grace_period,f,f,2.54
